Case_ID,Timestamp,Activity
case_id484854259,2024-10-01T10:53:53+01:00,c
case_id484854259,2024-10-01T10:53:53+01:00,a
case_id484854259,2024-10-01T10:53:53+01:00,D
case_id484854259,2024-10-01T10:53:53+01:00,g
case_id484854259,2024-10-01T10:53:53+01:00,e
case_id484854259,2024-10-01T10:53:53+01:00,d
case_id484854259,2024-10-01T10:53:53+01:00,f
case_id484854259,2024-10-01T10:53:53+01:00,b
case_id484854259,2024-10-01T10:53:53+01:00,F
case_id484854259,2024-10-01T10:53:53+01:00,K
case_id484854259,2024-10-01T10:53:53+01:00,E
case_id484854259,2024-10-01T10:53:53+01:00,A
case_id510000680,2024-10-01T10:53:53+01:00,e
case_id510000680,2024-10-01T10:53:53+01:00,b
case_id510000680,2024-10-01T10:53:53+01:00,c
case_id510000680,2024-10-01T10:53:53+01:00,a
case_id510000680,2024-10-01T10:53:53+01:00,f
case_id510000680,2024-10-01T10:53:53+01:00,D
case_id510000680,2024-10-01T10:53:53+01:00,F
case_id510000680,2024-10-01T10:53:53+01:00,g
case_id510000680,2024-10-01T10:53:53+01:00,d
case_id510000680,2024-10-01T10:53:53+01:00,K
case_id510000680,2024-10-01T10:53:53+01:00,E
case_id510000680,2024-10-01T10:53:53+01:00,A
case_id2016198304,2024-10-01T10:53:53+01:00,d
case_id2016198304,2024-10-01T10:53:53+01:00,e
case_id2016198304,2024-10-01T10:53:53+01:00,F
case_id2016198304,2024-10-01T10:53:53+01:00,a
case_id2016198304,2024-10-01T10:53:53+01:00,D
case_id2016198304,2024-10-01T10:53:53+01:00,b
case_id2016198304,2024-10-01T10:53:53+01:00,c
case_id2016198304,2024-10-01T10:53:53+01:00,f
case_id2016198304,2024-10-01T10:53:53+01:00,g
case_id2016198304,2024-10-01T10:53:53+01:00,K
case_id2016198304,2024-10-01T10:53:53+01:00,E
case_id2016198304,2024-10-01T10:53:53+01:00,A
case_id119923830,2024-10-01T10:53:53+01:00,c
case_id119923830,2024-10-01T10:53:53+01:00,f
case_id119923830,2024-10-01T10:53:53+01:00,a
case_id119923830,2024-10-01T10:53:53+01:00,b
case_id119923830,2024-10-01T10:53:53+01:00,e
case_id119923830,2024-10-01T10:53:53+01:00,g
case_id119923830,2024-10-01T10:53:53+01:00,F
case_id119923830,2024-10-01T10:53:53+01:00,d
case_id119923830,2024-10-01T10:53:53+01:00,K
case_id119923830,2024-10-01T10:53:53+01:00,E
case_id119923830,2024-10-01T10:53:53+01:00,D
case_id119923830,2024-10-01T10:53:53+01:00,A
case_id199553763,2024-10-01T10:53:53+01:00,e
case_id199553763,2024-10-01T10:53:53+01:00,b
case_id199553763,2024-10-01T10:53:53+01:00,a
case_id199553763,2024-10-01T10:53:53+01:00,g
case_id199553763,2024-10-01T10:53:53+01:00,D
case_id199553763,2024-10-01T10:53:53+01:00,F
case_id199553763,2024-10-01T10:53:53+01:00,d
case_id199553763,2024-10-01T10:53:53+01:00,f
case_id199553763,2024-10-01T10:53:53+01:00,K
case_id199553763,2024-10-01T10:53:53+01:00,c
case_id199553763,2024-10-01T10:53:53+01:00,E
case_id199553763,2024-10-01T10:53:53+01:00,A
case_id444433661,2024-10-01T10:53:53+01:00,g
case_id444433661,2024-10-01T10:53:53+01:00,e
case_id444433661,2024-10-01T10:53:53+01:00,b
case_id444433661,2024-10-01T10:53:53+01:00,a
case_id444433661,2024-10-01T10:53:53+01:00,F
case_id444433661,2024-10-01T10:53:53+01:00,d
case_id444433661,2024-10-01T10:53:53+01:00,D
case_id444433661,2024-10-01T10:53:53+01:00,f
case_id444433661,2024-10-01T10:53:53+01:00,c
case_id444433661,2024-10-01T10:53:53+01:00,K
case_id444433661,2024-10-01T10:53:53+01:00,E
case_id444433661,2024-10-01T10:53:53+01:00,A
case_id757493812,2024-10-01T10:53:53+01:00,f
case_id757493812,2024-10-01T10:53:53+01:00,e
case_id757493812,2024-10-01T10:53:53+01:00,c
case_id757493812,2024-10-01T10:53:53+01:00,d
case_id757493812,2024-10-01T10:53:53+01:00,F
case_id757493812,2024-10-01T10:53:53+01:00,b
case_id757493812,2024-10-01T10:53:53+01:00,a
case_id757493812,2024-10-01T10:53:53+01:00,g
case_id757493812,2024-10-01T10:53:53+01:00,D
case_id757493812,2024-10-01T10:53:53+01:00,K
case_id757493812,2024-10-01T10:53:53+01:00,E
case_id757493812,2024-10-01T10:53:53+01:00,A
case_id1456567280,2024-10-01T10:53:53+01:00,d
case_id1456567280,2024-10-01T10:53:53+01:00,e
case_id1456567280,2024-10-01T10:53:53+01:00,c
case_id1456567280,2024-10-01T10:53:53+01:00,f
case_id1456567280,2024-10-01T10:53:53+01:00,F
case_id1456567280,2024-10-01T10:53:53+01:00,a
case_id1456567280,2024-10-01T10:53:53+01:00,g
case_id1456567280,2024-10-01T10:53:53+01:00,D
case_id1456567280,2024-10-01T10:53:53+01:00,b
case_id1456567280,2024-10-01T10:53:53+01:00,K
case_id1456567280,2024-10-01T10:53:53+01:00,E
case_id1456567280,2024-10-01T10:53:53+01:00,A
case_id1908603201,2024-10-01T10:53:53+01:00,b
case_id1908603201,2024-10-01T10:53:53+01:00,d
case_id1908603201,2024-10-01T10:53:53+01:00,g
case_id1908603201,2024-10-01T10:53:53+01:00,c
case_id1908603201,2024-10-01T10:53:53+01:00,e
case_id1908603201,2024-10-01T10:53:53+01:00,a
case_id1908603201,2024-10-01T10:53:53+01:00,f
case_id1908603201,2024-10-01T10:53:53+01:00,F
case_id1908603201,2024-10-01T10:53:53+01:00,K
case_id1908603201,2024-10-01T10:53:53+01:00,E
case_id1908603201,2024-10-01T10:53:53+01:00,A
case_id1533656518,2024-10-01T10:53:53+01:00,e
case_id1533656518,2024-10-01T10:53:53+01:00,c
case_id1533656518,2024-10-01T10:53:53+01:00,b
case_id1533656518,2024-10-01T10:53:53+01:00,g
case_id1533656518,2024-10-01T10:53:53+01:00,a
case_id1533656518,2024-10-01T10:53:53+01:00,F
case_id1533656518,2024-10-01T10:53:53+01:00,d
case_id1533656518,2024-10-01T10:53:53+01:00,D
case_id1533656518,2024-10-01T10:53:53+01:00,f
case_id1533656518,2024-10-01T10:53:53+01:00,K
case_id1533656518,2024-10-01T10:53:53+01:00,E
case_id1533656518,2024-10-01T10:53:53+01:00,A
