Case_ID,Timestamp,Activity
case_id16006326,2024-10-01T13:07:10+01:00,d
case_id16006326,2024-10-01T13:07:10+01:00,e
case_id16006326,2024-10-01T13:07:10+01:00,a
case_id16006326,2024-10-01T13:07:10+01:00,D
case_id16006326,2024-10-01T13:07:10+01:00,f
case_id16006326,2024-10-01T13:07:10+01:00,b
case_id16006326,2024-10-01T13:07:10+01:00,g
case_id16006326,2024-10-01T13:07:10+01:00,F
case_id16006326,2024-10-01T13:07:10+01:00,K
case_id16006326,2024-10-01T13:07:10+01:00,c
case_id16006326,2024-10-01T13:07:10+01:00,C
case_id16006326,2024-10-01T13:07:10+01:00,E
case_id16006326,2024-10-01T13:07:10+01:00,A
case_id1395687318,2024-10-01T13:07:10+01:00,b
case_id1395687318,2024-10-01T13:07:10+01:00,c
case_id1395687318,2024-10-01T13:07:10+01:00,d
case_id1395687318,2024-10-01T13:07:10+01:00,a
case_id1395687318,2024-10-01T13:07:10+01:00,g
case_id1395687318,2024-10-01T13:07:10+01:00,e
case_id1395687318,2024-10-01T13:07:10+01:00,D
case_id1395687318,2024-10-01T13:07:10+01:00,F
case_id1395687318,2024-10-01T13:07:10+01:00,f
case_id1395687318,2024-10-01T13:07:10+01:00,K
case_id1395687318,2024-10-01T13:07:10+01:00,E
case_id1395687318,2024-10-01T13:07:10+01:00,A
case_id344997001,2024-10-01T13:07:10+01:00,e
case_id344997001,2024-10-01T13:07:10+01:00,F
case_id344997001,2024-10-01T13:07:10+01:00,f
case_id344997001,2024-10-01T13:07:10+01:00,g
case_id344997001,2024-10-01T13:07:10+01:00,b
case_id344997001,2024-10-01T13:07:10+01:00,a
case_id344997001,2024-10-01T13:07:10+01:00,K
case_id344997001,2024-10-01T13:07:10+01:00,d
case_id344997001,2024-10-01T13:07:10+01:00,c
case_id344997001,2024-10-01T13:07:10+01:00,D
case_id344997001,2024-10-01T13:07:10+01:00,E
case_id344997001,2024-10-01T13:07:10+01:00,A
case_id1185684263,2024-10-01T13:07:10+01:00,g
case_id1185684263,2024-10-01T13:07:10+01:00,d
case_id1185684263,2024-10-01T13:07:10+01:00,f
case_id1185684263,2024-10-01T13:07:10+01:00,c
case_id1185684263,2024-10-01T13:07:10+01:00,e
case_id1185684263,2024-10-01T13:07:10+01:00,F
case_id1185684263,2024-10-01T13:07:10+01:00,b
case_id1185684263,2024-10-01T13:07:10+01:00,K
case_id1185684263,2024-10-01T13:07:10+01:00,a
case_id1185684263,2024-10-01T13:07:10+01:00,D
case_id1185684263,2024-10-01T13:07:10+01:00,E
case_id1185684263,2024-10-01T13:07:10+01:00,A
case_id1529133298,2024-10-01T13:07:10+01:00,f
case_id1529133298,2024-10-01T13:07:10+01:00,e
case_id1529133298,2024-10-01T13:07:10+01:00,c
case_id1529133298,2024-10-01T13:07:10+01:00,d
case_id1529133298,2024-10-01T13:07:10+01:00,F
case_id1529133298,2024-10-01T13:07:10+01:00,b
case_id1529133298,2024-10-01T13:07:10+01:00,a
case_id1529133298,2024-10-01T13:07:10+01:00,D
case_id1529133298,2024-10-01T13:07:10+01:00,g
case_id1529133298,2024-10-01T13:07:10+01:00,K
case_id1529133298,2024-10-01T13:07:10+01:00,E
case_id1529133298,2024-10-01T13:07:10+01:00,A
case_id1888670446,2024-10-01T13:07:10+01:00,b
case_id1888670446,2024-10-01T13:07:10+01:00,d
case_id1888670446,2024-10-01T13:07:10+01:00,f
case_id1888670446,2024-10-01T13:07:10+01:00,a
case_id1888670446,2024-10-01T13:07:10+01:00,e
case_id1888670446,2024-10-01T13:07:10+01:00,D
case_id1888670446,2024-10-01T13:07:10+01:00,F
case_id1888670446,2024-10-01T13:07:10+01:00,c
case_id1888670446,2024-10-01T13:07:10+01:00,g
case_id1888670446,2024-10-01T13:07:10+01:00,K
case_id1888670446,2024-10-01T13:07:10+01:00,E
case_id1888670446,2024-10-01T13:07:10+01:00,A
case_id1061248744,2024-10-01T13:07:10+01:00,d
case_id1061248744,2024-10-01T13:07:10+01:00,e
case_id1061248744,2024-10-01T13:07:10+01:00,F
case_id1061248744,2024-10-01T13:07:10+01:00,c
case_id1061248744,2024-10-01T13:07:10+01:00,f
case_id1061248744,2024-10-01T13:07:10+01:00,a
case_id1061248744,2024-10-01T13:07:10+01:00,g
case_id1061248744,2024-10-01T13:07:10+01:00,b
case_id1061248744,2024-10-01T13:07:10+01:00,D
case_id1061248744,2024-10-01T13:07:10+01:00,K
case_id1061248744,2024-10-01T13:07:10+01:00,E
case_id1061248744,2024-10-01T13:07:10+01:00,A
case_id1207676389,2024-10-01T13:07:10+01:00,d
case_id1207676389,2024-10-01T13:07:10+01:00,e
case_id1207676389,2024-10-01T13:07:10+01:00,f
case_id1207676389,2024-10-01T13:07:10+01:00,F
case_id1207676389,2024-10-01T13:07:10+01:00,g
case_id1207676389,2024-10-01T13:07:10+01:00,c
case_id1207676389,2024-10-01T13:07:10+01:00,a
case_id1207676389,2024-10-01T13:07:10+01:00,b
case_id1207676389,2024-10-01T13:07:10+01:00,D
case_id1207676389,2024-10-01T13:07:10+01:00,K
case_id1207676389,2024-10-01T13:07:10+01:00,E
case_id1207676389,2024-10-01T13:07:10+01:00,A
case_id344431906,2024-10-01T13:07:10+01:00,c
case_id344431906,2024-10-01T13:07:10+01:00,b
case_id344431906,2024-10-01T13:07:10+01:00,d
case_id344431906,2024-10-01T13:07:10+01:00,a
case_id344431906,2024-10-01T13:07:10+01:00,e
case_id344431906,2024-10-01T13:07:10+01:00,F
case_id344431906,2024-10-01T13:07:10+01:00,D
case_id344431906,2024-10-01T13:07:10+01:00,f
case_id344431906,2024-10-01T13:07:10+01:00,g
case_id344431906,2024-10-01T13:07:10+01:00,K
case_id344431906,2024-10-01T13:07:10+01:00,E
case_id344431906,2024-10-01T13:07:10+01:00,A
case_id821352072,2024-10-01T13:07:10+01:00,f
case_id821352072,2024-10-01T13:07:10+01:00,e
case_id821352072,2024-10-01T13:07:10+01:00,d
case_id821352072,2024-10-01T13:07:10+01:00,F
