Case_ID,Timestamp,Activity
case_id1793750873,2024-10-01T10:52:54+01:00,a
case_id1793750873,2024-10-01T10:52:54+01:00,f
case_id1793750873,2024-10-01T10:52:54+01:00,c
case_id1793750873,2024-10-01T10:52:54+01:00,d
case_id1793750873,2024-10-01T10:52:54+01:00,b
case_id1793750873,2024-10-01T10:52:54+01:00,e
case_id1793750873,2024-10-01T10:52:54+01:00,D
case_id1793750873,2024-10-01T10:52:54+01:00,F
case_id1793750873,2024-10-01T10:52:54+01:00,g
case_id1793750873,2024-10-01T10:52:54+01:00,K
case_id1793750873,2024-10-01T10:52:54+01:00,E
case_id1793750873,2024-10-01T10:52:54+01:00,A
case_id564105139,2024-10-01T10:52:54+01:00,g
case_id564105139,2024-10-01T10:52:54+01:00,a
case_id564105139,2024-10-01T10:52:54+01:00,c
case_id564105139,2024-10-01T10:52:54+01:00,e
case_id564105139,2024-10-01T10:52:54+01:00,f
case_id564105139,2024-10-01T10:52:54+01:00,b
case_id564105139,2024-10-01T10:52:54+01:00,F
case_id564105139,2024-10-01T10:52:54+01:00,K
case_id564105139,2024-10-01T10:52:54+01:00,D
case_id564105139,2024-10-01T10:52:54+01:00,d
case_id564105139,2024-10-01T10:52:54+01:00,E
case_id564105139,2024-10-01T10:52:54+01:00,A
case_id1062069814,2024-10-01T10:52:54+01:00,e
case_id1062069814,2024-10-01T10:52:54+01:00,d
case_id1062069814,2024-10-01T10:52:54+01:00,F
case_id1062069814,2024-10-01T10:52:54+01:00,a
case_id1062069814,2024-10-01T10:52:54+01:00,f
case_id1062069814,2024-10-01T10:52:54+01:00,c
case_id1062069814,2024-10-01T10:52:54+01:00,b
case_id1062069814,2024-10-01T10:52:54+01:00,D
case_id1062069814,2024-10-01T10:52:54+01:00,g
case_id1062069814,2024-10-01T10:52:54+01:00,K
case_id1062069814,2024-10-01T10:52:54+01:00,E
case_id1062069814,2024-10-01T10:52:54+01:00,A
case_id591455881,2024-10-01T10:52:54+01:00,f
case_id591455881,2024-10-01T10:52:54+01:00,d
case_id591455881,2024-10-01T10:52:54+01:00,b
case_id591455881,2024-10-01T10:52:54+01:00,e
case_id591455881,2024-10-01T10:52:54+01:00,c
case_id591455881,2024-10-01T10:52:54+01:00,g
case_id591455881,2024-10-01T10:52:54+01:00,F
case_id591455881,2024-10-01T10:52:54+01:00,a
case_id591455881,2024-10-01T10:52:54+01:00,D
case_id591455881,2024-10-01T10:52:54+01:00,K
case_id591455881,2024-10-01T10:52:54+01:00,E
case_id591455881,2024-10-01T10:52:54+01:00,A
case_id1722476872,2024-10-01T10:52:54+01:00,d
case_id1722476872,2024-10-01T10:52:54+01:00,b
case_id1722476872,2024-10-01T10:52:54+01:00,f
case_id1722476872,2024-10-01T10:52:54+01:00,c
case_id1722476872,2024-10-01T10:52:54+01:00,a
case_id1722476872,2024-10-01T10:52:54+01:00,e
case_id1722476872,2024-10-01T10:52:54+01:00,D
case_id1722476872,2024-10-01T10:52:54+01:00,F
case_id1722476872,2024-10-01T10:52:54+01:00,g
case_id1722476872,2024-10-01T10:52:54+01:00,K
case_id1722476872,2024-10-01T10:52:54+01:00,E
case_id1722476872,2024-10-01T10:52:54+01:00,A
case_id1171317527,2024-10-01T10:52:54+01:00,a
case_id1171317527,2024-10-01T10:52:54+01:00,f
case_id1171317527,2024-10-01T10:52:54+01:00,c
case_id1171317527,2024-10-01T10:52:54+01:00,d
case_id1171317527,2024-10-01T10:52:54+01:00,g
case_id1171317527,2024-10-01T10:52:54+01:00,b
case_id1171317527,2024-10-01T10:52:54+01:00,D
case_id1171317527,2024-10-01T10:52:54+01:00,e
case_id1171317527,2024-10-01T10:52:54+01:00,F
case_id1171317527,2024-10-01T10:52:54+01:00,K
case_id1171317527,2024-10-01T10:52:54+01:00,E
case_id1171317527,2024-10-01T10:52:54+01:00,A
case_id1925637623,2024-10-01T10:52:54+01:00,g
case_id1925637623,2024-10-01T10:52:54+01:00,c
case_id1925637623,2024-10-01T10:52:54+01:00,b
case_id1925637623,2024-10-01T10:52:54+01:00,e
case_id1925637623,2024-10-01T10:52:54+01:00,d
case_id1925637623,2024-10-01T10:52:54+01:00,F
case_id1925637623,2024-10-01T10:52:54+01:00,f
case_id1925637623,2024-10-01T10:52:54+01:00,K
case_id1925637623,2024-10-01T10:52:54+01:00,a
case_id1925637623,2024-10-01T10:52:54+01:00,D
case_id1925637623,2024-10-01T10:52:54+01:00,E
case_id1925637623,2024-10-01T10:52:54+01:00,A
case_id1813781816,2024-10-01T10:52:54+01:00,b
case_id1813781816,2024-10-01T10:52:54+01:00,a
case_id1813781816,2024-10-01T10:52:54+01:00,e
case_id1813781816,2024-10-01T10:52:54+01:00,g
case_id1813781816,2024-10-01T10:52:54+01:00,d
case_id1813781816,2024-10-01T10:52:54+01:00,F
case_id1813781816,2024-10-01T10:52:54+01:00,c
case_id1813781816,2024-10-01T10:52:54+01:00,f
case_id1813781816,2024-10-01T10:52:54+01:00,K
case_id1813781816,2024-10-01T10:52:54+01:00,E
case_id1813781816,2024-10-01T10:52:54+01:00,A
case_id144454251,2024-10-01T10:52:54+01:00,d
case_id144454251,2024-10-01T10:52:54+01:00,a
case_id144454251,2024-10-01T10:52:54+01:00,c
case_id144454251,2024-10-01T10:52:54+01:00,e
case_id144454251,2024-10-01T10:52:54+01:00,D
